resource_name,resource_type,sport_name,description,target_audience,content_url,author,language,status
Adaptive Sports Equipment Guide,guide,Multiple Sports,"Comprehensive guide to selecting and maintaining adaptive sports equipment for various disabilities",all,https://moveunitedsport.org/resources/equipment-guide/,Move United,English,published
Wheelchair Basketball Coaching Manual,document,Wheelchair Basketball,"Official coaching manual covering rules, techniques, and strategies for wheelchair basketball",coaches,https://www.nwba.org/coaching-manual,National Wheelchair Basketball Association,English,published
Para Swimming Classification Guide,guide,Para Swimming,"Detailed guide explaining the classification system for para swimming competitions",athletes,https://www.usparaswimming.org/classification,USA Para Swimming,English,published
Adaptive Skiing Instructor Certification,tool,Alpine Skiing,"Information and resources for becoming a certified adaptive skiing instructor",coaches,https://www.psia.org/adaptive,Professional Ski Instructors of America,English,published
Goalball Rules and Regulations,document,Goalball,"Official rulebook for goalball competitions sanctioned by IBSA",all,https://www.ibsasport.org/goalball/rules,International Blind Sports Federation,English,published
Wheelchair Rugby Training Videos,video,Wheelchair Rugby,"Video series demonstrating wheelchair rugby techniques, drills, and strategies",athletes,https://www.usquadrugby.com/training-videos,USA Wheelchair Rugby,English,published
Adaptive Sports Funding Directory,tool,Multiple Sports,"Searchable directory of grants, scholarships, and funding opportunities for adaptive athletes",athletes,https://www.challengedathletes.org/funding-directory,Challenged Athletes Foundation,English,published
Boccia Competition Handbook,document,Boccia,"Handbook covering competition formats, rules, and best practices for boccia events",all,https://www.bisfed.com/competition-handbook,BISFed,English,published
Para Athletics Classification Manual,guide,Para Athletics,"Comprehensive manual explaining classification systems for all para athletics events",athletes,https://www.paralympic.org/athletics/classification,World Para Athletics,English,published
Adaptive Sports Safety Guidelines,guide,Multiple Sports,"Safety guidelines and best practices for adaptive sports programs and events",coaches,https://www.disabledsportsusa.org/safety-guidelines,Disabled Sports USA,English,published
Wheelchair Tennis Rules and Modifications,document,Wheelchair Tennis,"Official rules and modifications for wheelchair tennis competitions",all,https://www.itftennis.com/wheelchair/rules,International Tennis Federation,English,published
Sled Hockey Equipment Maintenance Guide,guide,Sled Hockey,"Guide to maintaining and repairing sled hockey equipment including sleds and sticks",coaches,https://www.usahockey.com/sledhockey/equipment,USA Hockey,English,published
Adaptive Triathlon Training Plan,tool,Adaptive Triathlon,"12-week training plan for athletes with disabilities preparing for triathlon competitions",athletes,https://dare2tri.org/training-plan,Dare2Tri,English,published
Para Cycling Classification Explained,video,Para Cycling,"Video series explaining the classification system for para cycling",athletes,https://www.usacycling.org/paracycling/classification,USA Cycling,English,published
Inclusive Sports Programming Guide,guide,Multiple Sports,"Guide for organizations developing inclusive adaptive sports programs in their communities",staff,https://www.specialolympics.org/programming-guide,Special Olympics,English,published
