program_name,organization_name,program_type,sport_name,description,target_audience,age_min,age_max,skill_level_required,cost_per_participant,scholarship_available,equipment_provided,status
Youth Wheelchair Basketball League,Move United,competition,Wheelchair Basketball,"Competitive wheelchair basketball league for youth athletes with physical disabilities","Youth with physical disabilities",8,18,any,150,TRUE,TRUE,open
Adaptive Skiing Program,National Sports Center for the Disabled,recreation,Alpine Skiing,"Recreational and instructional skiing program for individuals with all types of disabilities","Individuals with physical, cognitive, and sensory disabilities",5,99,any,200,TRUE,TRUE,open
Para Swimming Development Program,Lakeshore Foundation,training,Para Swimming,"Training program for competitive swimmers with physical disabilities preparing for regional and national competitions","Athletes with physical disabilities",10,30,intermediate,100,TRUE,FALSE,open
Sled Hockey Youth League,Disabled Sports USA,competition,Sled Hockey,"Youth sled hockey league providing competitive opportunities for players with lower limb disabilities","Youth with lower limb disabilities",6,18,any,250,TRUE,TRUE,open
Adaptive Rock Climbing Clinic,Angel City Sports,clinic,Adaptive Rock Climbing,"Monthly rock climbing clinics for individuals with physical disabilities and visual impairments","Individuals with physical disabilities and visual impairments",12,99,beginner,25,FALSE,TRUE,open
Wheelchair Tennis Training Camp,BlazeSports America,camp,Wheelchair Tennis,"Week-long intensive training camp for wheelchair tennis players of all skill levels","Athletes using wheelchairs",10,25,any,400,TRUE,TRUE,open
Goalball Development Program,United States Association of Blind Athletes,training,Goalball,"Training program for blind and visually impaired athletes learning goalball fundamentals","Blind and visually impaired individuals",12,30,beginner,0,FALSE,TRUE,open
Adaptive Triathlon Training,Dare2Tri,training,Adaptive Triathlon,"Comprehensive training program preparing athletes with disabilities for triathlon competitions","Athletes with physical disabilities and visual impairments",16,99,intermediate,300,TRUE,FALSE,open
Boccia Recreation League,Special Olympics,recreation,Boccia,"Recreational boccia league for athletes with severe physical disabilities","Individuals with severe physical disabilities",8,99,any,0,FALSE,TRUE,open
Para Cycling Development Squad,USA Cycling,training,Para Cycling,"Elite development program for para cyclists preparing for national and international competitions","Para cyclists with competitive experience",14,40,advanced,500,TRUE,FALSE,open
Adaptive Martial Arts Classes,Adaptive Sports Center,education,Adaptive Martial Arts,"Weekly martial arts classes adapted for students with various disabilities","Children and adults with physical and developmental disabilities",6,99,any,75,TRUE,FALSE,open
Wheelchair Rugby Training Program,Lakeshore Foundation,training,Wheelchair Rugby,"Competitive training program for wheelchair rugby athletes","Athletes with quadriplegia or comparable disability",16,99,any,150,TRUE,TRUE,open
Adaptive Yoga and Fitness,Sportable,recreation,Adaptive Fitness,"Weekly yoga and fitness classes adapted for individuals with physical disabilities","Adults with physical disabilities",18,99,any,50,FALSE,FALSE,open
Beep Baseball League,National Beep Baseball Association,competition,Beep Baseball,"Competitive beep baseball league for blind and visually impaired athletes","Blind and visually impaired individuals",16,99,any,100,TRUE,TRUE,open
Adaptive Surfing Camp,Angel City Sports,camp,Adaptive Surfing,"Summer surf camp for individuals with physical disabilities and visual impairments","Youth and adults with disabilities",10,30,beginner,350,TRUE,TRUE,open
