organization_id,organization_name,organization_type,website_url,city,state_province,country,data_quality_rating,primary_data_source,nwba_division,move_united_member_type,paralympic_sport_club,special_olympics_affiliate,verification_method,status
9f6074cd-6e08-438b-a346-499b89b33981,"Alpine Alternatives, Inc.",member,https://alpinealternatives.net/,,Alaska,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
26c4f6ed-5822-4bf6-9089-c42508316882,Challenge Alaska – Paralympic Sport Alaska,adaptive_club,http://www.challengealaska.org/index.php?option=com_content&view=article&id=112&Itemid=123,,Alaska,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
3c81a49e-c3c9-4235-8590-4d01c7973410,Southeast Alaska Independent Living,member,http://www.sailinc.org,,Alaska,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
b8a8f78f-8b58-4638-a46f-afa4b5a6f96b,Lakeshore Foundation – Paralympic Sport Birmingham,adaptive_club,http://www.lakeshore.org,,Alabama,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
b0213262-cae5-4809-a8f6-0e15f6ab08d8,United States Wheelchair Rugby Association,member,https://www.uswra.org/,,Alabama,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
fc714a1a-6986-4f81-9935-932a3732afd6,Birmingham VA Medical Center,member,http://www.birmingham.va.gov,,Alabama,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
9105aab9-cb93-4272-b5db-9af5ecd81d29,Lakeshore Junior Wheelchair Basketball,member,https://www.lakeshore.org/?s=wheelchair+basketball,,Alabama,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
f6b95ded-9dba-4a7c-a441-edd5b9c6406b,Alabama Adapted Athletics,member,http://alabamaadapted.com/,,Alabama,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
11bdfd81-9a01-4274-b91c-f7423f58ba5e,Team River Runner Ft. Campbell,member,http://www.teamriverrunner.org/?q=node/1283,,Alabama,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
c422b99c-ddcc-4475-8fbe-6238b55e6bd7,Golf 4 the Disabled,member,http://www.golf4thedisabled.org,,Alabama,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
5566bec2-14f8-4e08-90ce-c826298e7ac4,Auburn University Office of Accessibility – Paralympic Sport Auburn,adaptive_club,http://auburn.edu/adaptivesports,,Alabama,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
549a71f6-5100-4536-b6dc-7c1993d8cda7,Arizona Disabled Sports – Paralympic Sport Mesa,adaptive_club,http://www.arizonadisabledsports.com,,Arizona,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
b5f264f7-3913-4d07-8198-0e48ed7992ce,Southern Arizona Association for the Visually Impaired (SAAVI),member,http://www.saavi.us,,Arizona,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
9c0053e7-479f-415f-97ac-1c277cffac95,City of Phoenix Adaptive Recreation (Daring Adventures),member,https://www.phoenix.gov/parks/adaptive-recreation,,Arizona,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
ccba8a33-ea16-485c-be18-4748f4ad4f7c,Rio Salado Rowing Club – Paralympic Sport Valley of the Sun,adaptive_club,https://rowrio.org/,,Arizona,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
66389716-ec48-42f2-8a9d-30fe5e1eb7d3,University of Arizona,member,https://drc.arizona.edu/athletics,,Arizona,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
9881159d-700c-4592-8310-d1d4336cce77,Surprise Arizona Adaptive Recreation,member,http://www.surpriseaz.gov/index.aspx?NID=1459,,Arizona,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
b7827006-4eda-47a0-a38d-87ad4d19a73b,Ability360 – Paralympic Sport Phoenix,adaptive_club,http://www.spofit.org,,Arizona,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
35563812-9b64-4df7-9b19-6f87c0cbb6e9,Southern Arizona Adaptive Sports,member,https://www.soazadaptivesports.org/,,Arizona,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
aa92d8a4-c704-47d8-bf22-976b9623259a,Ozark Adaptive Sports Association (OzASA),member,https://www.ozasa.org/,,Arkansas,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
2af7b089-245e-45fb-9d5b-d389f5f8c6e3,Adaptive CrossFit,member,https://movement-rx.com/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
57451cc8-9b99-4974-a76a-c62a3aa48ca5,Achieve Tahoe,member,http://www.achievetahoe.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
4248d97d-b9a3-4d03-a738-079a98c97eeb,Operation Surf,member,https://operationsurf.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
0a952ffb-4765-49fd-a97e-671200072a0d,Angel City Sports,member,http://angelcitysports.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
a3974ea8-0557-473d-81d4-f931dd73c5d0,Central California Adaptive Sports Center,member,http://www.centralcaladaptive.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
fa4f5c71-e175-4fa4-945b-4a4290849f76,Helen Woodward Animal Center Therapeutic Riding,member,http://www.animalcenter.org/therapeuticriding/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
7b9940cf-d09d-47aa-9dfb-e3f11266d612,Access Leisure – Paralympic Sport Sacramento,adaptive_club,http://www.accessleisuresac.org,,California,United States,high,CAF Directory,,,TRUE,FALSE,unverified,active
cd86ffb5-16df-4f2e-a4db-4d41853a46c7,Disabled Sports Eastern Sierra,member,http://www.disabledsportseasternsierra.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
173a50db-ef0a-4138-90d6-25d0e7d38c71,Far West Wheelchair Athletic Association,member,http://www.fwwaa.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
11df7dec-1fe6-43e2-8841-4a2fbad0cdf2,Living Spinal,member,http://livingspinal.com/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
53ba8186-6257-470c-8809-a6fe72a643ab,PossAbilities at Loma Linda University,member,http://www.teampossabilities.com,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
349cac28-0917-4bc5-8d55-495825ed20ba,Bay Area Outreach & Recreation Program,member,http://www.borp.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
88b2f6fe-19eb-49dc-a6c8-41ce69ab9f19,Argo Challenge,member,http://www.argochallenge.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
d7b9e35a-b919-4bce-ae05-4355ce8a5c82,Riekes Center for Human Enhancement,member,http://www.Riekes.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
df3fa7f0-2868-4f8b-a987-dde2a03e6ef1,Disabled Veterans SCUBA Project,member,http://www.disabledveteransscubaproject.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
ec9c1db6-2cef-4326-a057-87eb57e21298,California Adaptive Rowing Program,member,https://carplb.tripod.com/index.htm,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
5d9166be-4aa7-4a70-9bba-c417aa00cf95,Rancho Wheelchair Sports Program,member,http://ranchofoundation.org/wheelchair-sports/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
e1066bc4-0249-49ef-916f-ce9ec0127246,United States Adaptive Recreation Center,member,http://www.usarc.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
fc9ebb4d-e484-4ad4-a825-f76b859d4d86,Blind Stokers Club,member,http://www.blindstokersclub.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
250fd612-ddcc-413e-8761-d3a76e89c76c,San Diego District Tennis Association,member,http://www.sandiegotennis.com,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
7f7af9f3-efb2-4858-8afe-c47b5aa5cdf1,Bicycling Blind Los Angeles,member,http://bicyclingblind.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
cf84e69f-14ed-432b-8833-b6f5f0755ba7,SoCal Soaring Academy,member,http://www.soaringacademy.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
dbfc2e34-9b01-4197-9ec5-5246f1e58197,Shared Adventures,member,http://www.sharedadventures.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
8f3e1aed-c996-4e0d-a2b0-035e1d3ab9d0,Triumph Foundation,member,http://www.Triumph-Foundation.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
c14a104e-a492-40b0-9aba-be2b97b3188f,United States Para-Equestrian Association,member,http://www.USPEA.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
bf382eb5-be37-4b3a-a2d5-13c8ed46ee3d,Golden State Road Warriors,member,http://www.goldenstateroadwarriors.com,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
20d78885-54c6-4266-bcef-f30b277788ee,Incight,member,http://www.incight.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
a7e22239-6e00-4474-94ba-a48558223359,UCLA Adaptive Programs,member,https://www.recreation.ucla.edu/adaptiveprograms,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
2b073e5c-f96d-4e15-a8e1-990fb01d7f8f,Military Racquetball Federation,member,http://www.militaryracquetball.com/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
905b79f2-c5e7-4424-84f9-f4acf0b28dbc,Team River Runner Menlo Park & Palo Alto,member,https://www.teamriverrunner.org/get-involved/chapters/california-palo-alto/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
7ba7fb7f-5eb0-42e8-84c4-c978a73c6667,Team River Runner Sacramento,member,https://www.teamriverrunner.org/get-involved/chapters/california-american-river/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
455f61fb-ba76-4758-8a4a-9d95c36ebe6d,Team River Runner San Diego,member,https://www.teamriverrunner.org/get-involved/chapters/california-san-diego/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
f6b29981-df84-41d9-a20c-655766bc1e2e,Adaptive Athletics Association,member,http://www.adaptiveathletics.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
31e332a5-fb00-40f4-ab40-9f974390bc14,Disabled Sports USA Los Angeles – The Unrecables,member,http://www.unrecables.com/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
7a219a82-f5c3-4984-8711-e6c738b9d268,Disabled Sports USA Orange County – The Achievers,member,http://www.theachievers.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
2412b1f2-b136-4e90-92bb-9589f71dfcf3,Discovery Blind Sports,member,http://www.discoveryblindsports.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
c4ddba7a-8e2c-4308-b2b7-44e687f0590a,Shasta Disabled Sports USA,member,http://www.shastadsusa.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
692c9109-b282-41a7-b3a3-07d9a1155c4d,IVHA/Junior Reign Sled Hockey,member,https://socalsledhockey.blogspot.com,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
49d51c6b-df0d-42be-8edc-624ca32f9d05,"C.O.R.E. Centers, LLC",member,http://www.centerofrestorativeexercise.com/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
6d640a0e-d51d-4b1c-a733-c58e62d57414,"Break The Barriers, Inc.",member,https://breakthebarriers.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
550348c7-fe9d-4c2d-9e8d-cb061536ad9e,Marty Turcios Therapeutic Golf Foundation,member,http://www.therapeuticgolfclinic.com,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
e41d2560-59ed-4b82-a7b8-a6a3b897a5a6,San Diego Rowing Club,member,http://www.sandiegorowing.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
baa93a64-8691-4551-ba99-ee7f401080f7,Cottage Rehabilitation Hospital,member,https://www.cottagehealth.org/services/rehabilitation/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
381ebfaf-21b0-4553-ba00-196b7d77ae58,Bay Area Association of Disabled Sailors,member,http://www.baads.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
7eba4f43-d477-40bb-bd0b-69b05c0d3a54,Teaming Individuals Emphasizing Sports,member,http://www.tiessports.org,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
a0abaece-ceab-4fa1-b7ba-22e4e6666520,High Fives Non-Profit Foundation,member,http://www.highfivesfoundation.com,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
268782cb-38e8-4d70-b7df-1fb87927a7a3,"Timpany Center, San Jose",member,http://www.sjsu.edu/timpany/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
8e940e24-2b86-4194-b746-2bcd792d786d,"SoCal Power Soccer, Glendale",member,https://www.facebook.com/SoCalVaqueros/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
487cbb2f-6b2b-4691-8173-60663ff24443,Best Day Foundation,member,https://www.facebook.com/BestDayFoundation/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
a55571ac-6240-4158-956f-b5e0f61899f8,LA Kings Sled Hockey,member,https://www.facebook.com/LAKingsSledHockey/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
a0b72f24-fed3-4c56-b86b-cef2033b3f68,San Diego Sharp – USA Wheelchair Rugby,member,https://www.facebook.com/SharpEdgeRugby/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
375628b2-fbb6-4ea7-a220-1e8f24a7416a,Team PossAbilities Shield Maidens,member,https://www.lashieldmaidens.com/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
9411492f-4cd9-411d-af2e-80d7dffb721d,SoCal Surf & Skate,member,https://www.facebook.com/socalsurfandskate/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
f015e264-a25e-400c-a789-8d5d74ac20b2,Corona Challengers,member,http://www.cnusd.k12.ca.us/Page/17824,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
cd357d81-a8ec-477b-8942-34c85fa0dbf8,San Diego Ducks Sled Hockey,member,https://www.duckssledhockey.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
56b8d00d-55ea-4242-8b1a-6936e0594002,Adaptive Fusion Dragon Boat Club,member,https://www.adaptivefusion.org/,,California,United States,high,CAF Directory,,,FALSE,FALSE,unverified,active
